id,Nome_escola,Cod_inep,Bairro_polo,Enderenco_polo,lat,long,Gee,Tipo_ensino,_correcao
72,ESCOLA ESTADUAL PROFESSOR LUIZ CARLOS,27035336,TRAPICHE DA BARRA,RUA CORONEL ADAUTO GOMES BARBOSA,-9.676198436,-35.75800005,1ª,Escola de Ensino Regular,
73,ESCOLA ESTADUAL PROFESSOR MARIO BROAD,27038580,JATIUCA,AV DR JULIO MARQUES LUZ,-9.653084614,-35.71680059,1ª,Escola de Ensino Regular,
74,ESCOLA ESTADUAL PROFESSOR ROSALVO LOBO,27036685,JATIUCA,RUA ERNESTO GOMES MARANHAO,-9.652597764,-35.71260775,1ª,Escola em tempo integral,
75,ESCOLA ESTADUAL PROFESSOR THEONILO GAMA,27037037,JACINTINHO,RUA BOMFIM,-9.647297793,-35.71941167,1ª,Escola em tempo integral,
76,ESCOLA ESTADUAL PROFESSOR THEOTONIO VILELA BRANDAO,27034836,POCO,RUA CORONEL ADAUTO GOMES BARBOSA,-9.656113872,-35.71307235,1ª,Escola em tempo integral,
77,ESCOLA ESTADUAL PROFESSORA ADEILZA Ma OLIVEIRA,27035824,CHA DA JAQUEIRA,RUA DO CAMPO,-9.61630184,-35.74956599,13ª,Escola de Ensino Regular,
78,ESCOLA ESTADUAL PROFESSORA ANA COELHO PALMEIRA,27036430,JACARECICA,RUA ARTHUR BENIGNO LISBOA FERRAZ,-9.613443367,-35.68974981,1ª,Escola de Ensino Regular,
79,ESCOLA ESTADUAL PROFESSORA ANAIAS DE LIMA ANDRADE,27225682,VERGEL DO LAGO,RUA NOVO HORIZONTE,-9.653452921,-35.76200115,1ª,Escola de Ensino Regular,
80,ESCOLA ESTADUAL PROFESSORA EROTILDES R SALDANHA,27037150,FEITOSA,AVENIDA GOVERNADOR LAMENHA FILHO,-9.627552869,-35.72417469,1ª,Escola de Ensino Regular,
81,ESCOLA ESTADUAL PROFESSORA IRENE GARRIDO,27036022,TABULEIRO DO MARTINS,RUA HAMILTON MORAIS,-9.567287692,-35.75130518,13ª,Escola de Ensino Regular,
82,ESCOLA ESTADUAL PROFESSORA LAURA DANTAS SANTOS DA SILVA,27034674,FAROL,AV FERNANDES LIMA,-9.642439398,-35.73978242,13ª,Escola em tempo integral,
